# buoy ID | latitude | longitude | type
34002     | -55.0    | -90.0     | OCEAN_BUOY
41001     | 34.714   | -72.248   | OCEAN_BUOY
41002     | 31.759   | -74.936   | OCEAN_BUOY
41004     | 32.502   | -79.099   | OCEAN_BUOY
41008     | 31.4     | -80.866   | OCEAN_BUOY
41009     | 28.508   | -80.185   | OCEAN_BUOY
41013     | 33.441   | -77.764   | OCEAN_BUOY
41024     | 33.837   | -78.477   | COAST_BUOY
41025     | 35.01    | -75.454   | OCEAN_BUOY
41029     | 32.803   | -79.624   | OCEAN_BUOY
41033     | 32.279   | -80.406   | OCEAN_BUOY
41037     | 33.988   | -77.362   | OCEAN_BUOY
41038     | 34.141   | -77.715   | OCEAN_BUOY
41040     | 14.54    | -53.329   | OCEAN_BUOY
41041     | 14.453   | -46.327   | OCEAN_BUOY
41043     | 21.026   | -64.793   | OCEAN_BUOY
41044     | 21.582   | -58.63    | OCEAN_BUOY
41046     | 23.822   | -68.384   | OCEAN_BUOY
41047     | 27.465   | -71.452   | OCEAN_BUOY
41048     | 31.831   | -69.573   | OCEAN_BUOY
41049     | 27.49    | -62.938   | OCEAN_BUOY
41051     | 18.257   | -65.004   | OCEAN_BUOY
41052     | 18.249   | -64.763   | OCEAN_BUOY
41053     | 18.474   | -66.099   | COAST_BUOY
41056     | 18.261   | -65.464   | OCEAN_BUOY
41057     | 19.833   | -70.731   | COAST_BUOY
41058     | 18.476   | -65.157   | OCEAN_BUOY
41062     | 35.778   | -75.095   | OCEAN_BUOY
41063     | 34.782   | -75.941   | OCEAN_BUOY
41064     | 34.207   | -76.949   | OCEAN_BUOY
42001     | 25.919   | -89.674   | OCEAN_BUOY
42002     | 26.055   | -93.646   | OCEAN_BUOY
42003     | 25.925   | -85.616   | OCEAN_BUOY
42012     | 30.06    | -87.548   | OCEAN_BUOY
42013     | 27.173   | -82.924   | OCEAN_BUOY
42019     | 27.91    | -95.345   | OCEAN_BUOY
42022     | 27.505   | -83.741   | OCEAN_BUOY
42035     | 29.232   | -94.413   | OCEAN_BUOY
42036     | 28.501   | -84.508   | OCEAN_BUOY
42039     | 28.787   | -86.007   | OCEAN_BUOY
42040     | 29.207   | -88.237   | OCEAN_BUOY
42043     | 28.982   | -94.899   | OCEAN_BUOY
42044     | 26.191   | -97.051   | OCEAN_BUOY
42045     | 26.217   | -96.5     | OCEAN_BUOY
42046     | 27.89    | -94.037   | OCEAN_BUOY
42047     | 27.897   | -93.597   | OCEAN_BUOY
42055     | 22.124   | -93.941   | OCEAN_BUOY
42056     | 19.82    | -84.945   | OCEAN_BUOY
42057     | 16.908   | -81.422   | OCEAN_BUOY
42058     | 14.394   | -74.816   | OCEAN_BUOY
42059     | 15.3     | -67.483   | OCEAN_BUOY
42060     | 16.434   | -63.329   | OCEAN_BUOY
42067     | 30.05    | -88.583   | OCEAN_BUOY
42085     | 17.87    | -66.537   | COAST_BUOY
42087     | 11.185   | -60.848   | COAST_BUOY
42088     | 11.301   | -60.521   | COAST_BUOY
42089     | 19.699   | -80.061   | COAST_BUOY
42090     | 18.432   | -69.58    | COAST_BUOY
44005     | 43.201   | -69.127   | OCEAN_BUOY
44007     | 43.525   | -70.140   | OCEAN_BUOY
44008     | 40.496   | -69.25    | OCEAN_BUOY
44009     | 38.46    | -74.692   | OCEAN_BUOY
44011     | 41.093   | -66.562   | OCEAN_BUOY
44013     | 42.346   | -70.651   | OCEAN_BUOY
44014     | 36.609   | -74.842   | OCEAN_BUOY
44017     | 40.693   | -72.049   | OCEAN_BUOY
44018     | 42.203   | -70.154   | OCEAN_BUOY
44020     | 41.493   | -70.279   | OCEAN_BUOY
44022     | 40.883   | -73.728   | COAST_BUOY
44024     | 42.325   | -65.909   | OCEAN_BUOY
44025     | 40.251   | -73.164   | OCEAN_BUOY
44027     | 44.283   | -67.3     | OCEAN_BUOY
44029     | 42.523   | -70.566   | OCEAN_BUOY
44030     | 43.179   | -70.426   | OCEAN_BUOY
44032     | 43.715   | -69.355   | OCEAN_BUOY
44033     | 44.055   | -68.996   | COAST_BUOY
44034     | 44.103   | -68.112   | OCEAN_BUOY
44037     | 43.497   | -67.876   | OCEAN_BUOY
44039     | 41.138   | -72.655   | OCEAN_BUOY
44040     | 40.956   | -73.58    | OCEAN_BUOY
44041     | 37.211   | -76.787   | COAST_BUOY
44042     | 38.033   | -76.335   | COAST_BUOY
44043     | 39.152   | -76.391   | COAST_BUOY
44057     | 39.54    | -76.074   | COAST_BUOY
44058     | 37.567   | -76.257   | COAST_BUOY
44059     | 36.846   | -76.298   | COAST_BUOY
44060     | 41.263   | -72.067   | COAST_BUOY
44062     | 38.556   | -76.415   | OCEAN_BUOY
44063     | 38.963   | -76.448   | COAST_BUOY
44064     | 36.998   | -76.087   | OCEAN_BUOY
44065     | 40.369   | -73.703   | OCEAN_BUOY
44066     | 39.618   | -72.644   | OCEAN_BUOY
44069     | 40.698   | -73.087   | COAST_BUOY
44072     | 37.201   | -76.266   | OCEAN_BUOY
45001     | 48.061   | -87.793   | OCEAN_BUOY
